State,District,Season,Crop,Year,Area,Production,Yield
Telangana,Kamareddy,Kharif,Arhar/Tur,2019,7192.0,9419.0,1.31
Telangana,Kamareddy,Kharif,Arhar/Tur,2020,9964.0,10730.0,1.08
Telangana,Kamareddy,Kharif,Arhar/Tur,2021,7626.0,6688.0,0.88
Telangana,Kamareddy,Kharif,Arhar/Tur,2022,5136.0,5506.0,1.07
Telangana,Kamareddy,Rabi,Arhar/Tur,2021,20.0,15.0,0.75
Telangana,Kamareddy,Rabi,Arhar/Tur,2022,2.0,3.0,1.5
Telangana,Karimnagar,Kharif,Arhar/Tur,2018,1188.0,769.0,0.65
Telangana,Karimnagar,Kharif,Arhar/Tur,2019,976.0,945.0,0.97
Telangana,Karimnagar,Kharif,Arhar/Tur,2020,2378.0,1868.0,0.79
Telangana,Karimnagar,Kharif,Arhar/Tur,2021,1121.0,1068.0,0.95
Telangana,Karimnagar,Kharif,Arhar/Tur,2022,442.0,245.0,0.55
Telangana,Karimnagar,Rabi,Arhar/Tur,2020,3.0,2.0,0.67
Telangana,Karimnagar,Rabi,Arhar/Tur,2021,16.0,12.0,0.75
Telangana,Khammam,Kharif,Arhar/Tur,2018,1500.0,1226.0,0.82
Telangana,Khammam,Kharif,Arhar/Tur,2019,672.0,35.0,0.05
Telangana,Khammam,Kharif,Arhar/Tur,2020,1931.0,2120.0,1.1
Telangana,Khammam,Kharif,Arhar/Tur,2021,1004.0,915.0,0.91
Telangana,Khammam,Kharif,Arhar/Tur,2022,400.0,390.0,0.98
Telangana,Khammam,Rabi,Arhar/Tur,2018,19.0,16.0,0.84
Telangana,Khammam,Rabi,Arhar/Tur,2020,33.0,35.0,1.06
Telangana,Khammam,Rabi,Arhar/Tur,2021,19.0,14.0,0.74
Telangana,Khammam,Rabi,Arhar/Tur,2022,5.0,6.0,1.2
Telangana,Komaram bheem asifabad,Kharif,Arhar/Tur,2018,11759.0,12241.0,1.04
Telangana,Komaram bheem asifabad,Kharif,Arhar/Tur,2019,10853.0,14857.0,1.37
Telangana,Komaram bheem asifabad,Kharif,Arhar/Tur,2020,15806.0,17848.0,1.13
Telangana,Komaram bheem asifabad,Kharif,Arhar/Tur,2021,16456.0,16688.0,1.01
Telangana,Komaram bheem asifabad,Kharif,Arhar/Tur,2022,15875.0,16304.0,1.03
Telangana,Komaram bheem asifabad,Rabi,Arhar/Tur,2018,10.0,10.0,1.0
Telangana,Komaram bheem asifabad,Rabi,Arhar/Tur,2020,6.0,6.0,1.0
Telangana,Komaram bheem asifabad,Rabi,Arhar/Tur,2021,108.0,80.0,0.74
Telangana,Komaram bheem asifabad,Rabi,Arhar/Tur,2022,152.0,180.0,1.18
Telangana,Mahabubabad,Kharif,Arhar/Tur,2018,1608.0,883.0,0.55
Telangana,Mahabubabad,Kharif,Arhar/Tur,2019,1459.0,1006.0,0.69
Telangana,Mahabubabad,Kharif,Arhar/Tur,2020,2592.0,1884.0,0.73
Telangana,Mahabubabad,Kharif,Arhar/Tur,2021,1975.0,1185.0,0.6
Telangana,Mahabubabad,Kharif,Arhar/Tur,2022,1147.0,523.0,0.46
Telangana,Mahabubabad,Rabi,Arhar/Tur,2018,7.0,4.0,0.57
Telangana,Mahabubabad,Rabi,Arhar/Tur,2019,1.0,1.0,1.0
Telangana,Mahabubabad,Rabi,Arhar/Tur,2021,12.0,9.0,0.75
Telangana,Mahabubabad,Rabi,Arhar/Tur,2022,5.0,6.0,1.2
Telangana,Mahbubnagar,Kharif,Arhar/Tur,2018,17171.0,8276.0,0.48
Telangana,Mahbubnagar,Kharif,Arhar/Tur,2019,19371.0,11583.0,0.6
Telangana,Mahbubnagar,Kharif,Arhar/Tur,2020,28945.0,17025.0,0.59
Telangana,Mahbubnagar,Kharif,Arhar/Tur,2021,10868.0,6021.0,0.55
Telangana,Mahbubnagar,Kharif,Arhar/Tur,2022,4840.0,3940.0,0.81
Telangana,Mahbubnagar,Rabi,Arhar/Tur,2018,3.0,1.0,0.33
Telangana,Mahbubnagar,Rabi,Arhar/Tur,2019,4.0,2.0,0.5
Telangana,Mahbubnagar,Rabi,Arhar/Tur,2020,2.0,1.0,0.5
Telangana,Mahbubnagar,Rabi,Arhar/Tur,2021,7.0,5.0,0.71
Telangana,Mancherial,Kharif,Arhar/Tur,2018,1827.0,1447.0,0.79
Telangana,Mancherial,Kharif,Arhar/Tur,2019,1413.0,971.0,0.69
Telangana,Mancherial,Kharif,Arhar/Tur,2020,2466.0,2445.0,0.99
Telangana,Mancherial,Kharif,Arhar/Tur,2021,1901.0,1473.0,0.77
Telangana,Mancherial,Kharif,Arhar/Tur,2022,1095.0,922.0,0.84
Telangana,Mancherial,Rabi,Arhar/Tur,2018,122.0,97.0,0.8
Telangana,Mancherial,Rabi,Arhar/Tur,2019,102.0,70.0,0.69
Telangana,Mancherial,Rabi,Arhar/Tur,2020,54.0,53.0,0.98
Telangana,Mancherial,Rabi,Arhar/Tur,2021,101.0,75.0,0.74
Telangana,Mancherial,Rabi,Arhar/Tur,2022,91.0,108.0,1.19
Telangana,Medak,Kharif,Arhar/Tur,2018,1693.0,874.0,0.52
Telangana,Medak,Kharif,Arhar/Tur,2019,1358.0,1728.0,1.27
Telangana,Medak,Kharif,Arhar/Tur,2020,6977.0,4189.0,0.6
Telangana,Medak,Kharif,Arhar/Tur,2021,2421.0,1600.0,0.66
Telangana,Medak,Kharif,Arhar/Tur,2022,889.0,530.0,0.6
Telangana,Medak,Rabi,Arhar/Tur,2020,1.0,1.0,1.0
Telangana,Medak,Rabi,Arhar/Tur,2021,5.0,4.0,0.8
Telangana,Medchal,Kharif,Arhar/Tur,2018,117.0,76.0,0.65
Telangana,Medchal,Kharif,Arhar/Tur,2019,122.0,110.0,0.9
Telangana,Medchal,Kharif,Arhar/Tur,2020,877.0,680.0,0.78
Telangana,Medchal,Kharif,Arhar/Tur,2021,214.0,165.0,0.77
Telangana,Medchal,Kharif,Arhar/Tur,2022,62.0,55.0,0.89
Telangana,Medchal,Rabi,Arhar/Tur,2021,1.0,1.0,1.0
Telangana,Mulugu,Kharif,Arhar/Tur,2018,13.0,8.0,0.62
Telangana,Mulugu,Kharif,Arhar/Tur,2019,39.0,891.0,22.85
Telangana,Mulugu,Kharif,Arhar/Tur,2020,47.0,37.0,0.79
Telangana,Mulugu,Kharif,Arhar/Tur,2021,16.0,12.0,0.75
Telangana,Mulugu,Kharif,Arhar/Tur,2022,11.0,10.0,0.91
Telangana,Mulugu,Rabi,Arhar/Tur,2018,8.0,5.0,0.63
Telangana,Mulugu,Rabi,Arhar/Tur,2020,8.0,7.0,0.88
Telangana,Mulugu,Rabi,Arhar/Tur,2021,11.0,8.0,0.73
Telangana,Nagarkurnool,Kharif,Arhar/Tur,2018,7694.0,2778.0,0.36
Telangana,Nagarkurnool,Kharif,Arhar/Tur,2019,7904.0,5742.0,0.73
Telangana,Nagarkurnool,Kharif,Arhar/Tur,2020,11559.0,5685.0,0.49
Telangana,Nagarkurnool,Kharif,Arhar/Tur,2021,3135.0,1568.0,0.5
Telangana,Nagarkurnool,Kharif,Arhar/Tur,2022,1469.0,1378.0,0.94
Telangana,Nagarkurnool,Rabi,Arhar/Tur,2018,16.0,6.0,0.38
Telangana,Nagarkurnool,Rabi,Arhar/Tur,2019,26.0,19.0,0.73
Telangana,Nagarkurnool,Rabi,Arhar/Tur,2020,64.0,32.0,0.5
Telangana,Nagarkurnool,Rabi,Arhar/Tur,2021,20.0,15.0,0.75
Telangana,Nagarkurnool,Rabi,Arhar/Tur,2022,11.0,13.0,1.18
Telangana,Nalgonda,Kharif,Arhar/Tur,2018,6396.0,2117.0,0.33
Telangana,Nalgonda,Kharif,Arhar/Tur,2019,5635.0,4525.0,0.8
Telangana,Nalgonda,Kharif,Arhar/Tur,2020,7543.0,5947.0,0.79
Telangana,Nalgonda,Kharif,Arhar/Tur,2021,4375.0,2581.0,0.59
Telangana,Nalgonda,Kharif,Arhar/Tur,2022,1561.0,932.0,0.6
Telangana,Nalgonda,Rabi,Arhar/Tur,2020,1.0,1.0,1.0
Telangana,Nalgonda,Rabi,Arhar/Tur,2021,7.0,5.0,0.71
Telangana,Nalgonda,Rabi,Arhar/Tur,2022,2.0,2.0,1.0
Telangana,Narayanapet,Kharif,Arhar/Tur,2018,58591.0,28241.0,0.48
Telangana,Narayanapet,Kharif,Arhar/Tur,2019,61132.0,57402.0,0.94
Telangana,Narayanapet,Kharif,Arhar/Tur,2020,55727.0,46818.0,0.84
Telangana,Narayanapet,Kharif,Arhar/Tur,2021,45112.0,34646.0,0.77
Telangana,Narayanapet,Kharif,Arhar/Tur,2022,24033.0,18674.0,0.78
Telangana,Narayanapet,Rabi,Arhar/Tur,2020,21.0,18.0,0.86
Telangana,Narayanapet,Rabi,Arhar/Tur,2021,130.0,97.0,0.75
Telangana,Narayanapet,Rabi,Arhar/Tur,2022,31.0,37.0,1.19
Telangana,Nirmal,Kharif,Arhar/Tur,2018,8300.0,8790.0,1.06
Telangana,Nirmal,Kharif,Arhar/Tur,2019,8844.0,11057.0,1.25
Telangana,Nirmal,Kharif,Arhar/Tur,2020,8344.0,10245.0,1.23
Telangana,Nirmal,Kharif,Arhar/Tur,2021,7033.0,5858.0,0.83
Telangana,Nirmal,Kharif,Arhar/Tur,2022,4280.0,4828.0,1.13
Telangana,Nirmal,Rabi,Arhar/Tur,2021,6.0,4.0,0.67
Telangana,Nirmal,Rabi,Arhar/Tur,2022,3.0,4.0,1.33
Telangana,Nizamabad,Kharif,Arhar/Tur,2018,1673.0,1527.0,0.91
Telangana,Nizamabad,Kharif,Arhar/Tur,2019,966.0,1472.0,1.52
Telangana,Nizamabad,Kharif,Arhar/Tur,2020,1621.0,2345.0,1.45
Telangana,Nizamabad,Kharif,Arhar/Tur,2021,904.0,667.0,0.74
Telangana,Nizamabad,Kharif,Arhar/Tur,2022,304.0,419.0,1.38
Telangana,Nizamabad,Rabi,Arhar/Tur,2021,18.0,13.0,0.72
Telangana,Nizamabad,Rabi,Arhar/Tur,2022,22.0,26.0,1.18
Telangana,Peddapalli,Kharif,Arhar/Tur,2018,151.0,98.0,0.65
Telangana,Peddapalli,Kharif,Arhar/Tur,2019,264.0,238.0,0.9
Telangana,Peddapalli,Kharif,Arhar/Tur,2020,531.0,412.0,0.78
Telangana,Peddapalli,Kharif,Arhar/Tur,2021,465.0,358.0,0.77
Telangana,Peddapalli,Kharif,Arhar/Tur,2022,328.0,270.0,0.82
Telangana,Peddapalli,Rabi,Arhar/Tur,2020,1.0,1.0,1.0
Telangana,Peddapalli,Rabi,Arhar/Tur,2022,1.0,1.0,1.0
Telangana,Rajanna,Kharif,Arhar/Tur,2018,684.0,443.0,0.65
Telangana,Rajanna,Kharif,Arhar/Tur,2019,1470.0,1326.0,0.9
Telangana,Rajanna,Kharif,Arhar/Tur,2020,4258.0,3303.0,0.78
Telangana,Rajanna,Kharif,Arhar/Tur,2021,2028.0,1943.0,0.96
Telangana,Rajanna,Kharif,Arhar/Tur,2022,839.0,639.0,0.76
Telangana,Rajanna,Rabi,Arhar/Tur,2021,16.0,12.0,0.75
Telangana,Rangareddi,Kharif,Arhar/Tur,2018,5296.0,1764.0,0.33
Telangana,Rangareddi,Kharif,Arhar/Tur,2019,7256.0,4769.0,0.66
Telangana,Rangareddi,Kharif,Arhar/Tur,2020,28076.0,20882.0,0.74
Telangana,Rangareddi,Kharif,Arhar/Tur,2021,14395.0,6348.0,0.44
Telangana,Rangareddi,Kharif,Arhar/Tur,2022,5760.0,3491.0,0.61
Telangana,Rangareddi,Rabi,Arhar/Tur,2021,13.0,10.0,0.77
Telangana,Rangareddi,Rabi,Arhar/Tur,2022,7.0,8.0,1.14
Telangana,Sangareddy,Kharif,Arhar/Tur,2018,22293.0,9987.0,0.45
Telangana,Sangareddy,Kharif,Arhar/Tur,2019,19845.0,16771.0,0.85
Telangana,Sangareddy,Kharif,Arhar/Tur,2020,43809.0,29769.0,0.68
Telangana,Sangareddy,Kharif,Arhar/Tur,2021,36690.0,32727.0,0.89
Telangana,Sangareddy,Kharif,Arhar/Tur,2022,38532.0,39341.0,1.02
Telangana,Sangareddy,Rabi,Arhar/Tur,2021,70.0,52.0,0.74
Telangana,Sangareddy,Rabi,Arhar/Tur,2022,11.0,13.0,1.18
Telangana,Siddipet,Kharif,Arhar/Tur,2018,6546.0,4661.0,0.71
Telangana,Siddipet,Kharif,Arhar/Tur,2019,6687.0,6345.0,0.95
Telangana,Siddipet,Kharif,Arhar/Tur,2020,17373.0,11076.0,0.64
Telangana,Siddipet,Kharif,Arhar/Tur,2021,8750.0,5653.0,0.65
Telangana,Siddipet,Kharif,Arhar/Tur,2022,5008.0,4157.0,0.83
Telangana,Siddipet,Rabi,Arhar/Tur,2021,116.0,86.0,0.74
Telangana,Siddipet,Rabi,Arhar/Tur,2022,8.0,9.0,1.13
Telangana,Suryapet,Kharif,Arhar/Tur,2018,7512.0,4282.0,0.57
Telangana,Suryapet,Kharif,Arhar/Tur,2019,6677.0,5330.0,0.8
Telangana,Suryapet,Kharif,Arhar/Tur,2020,7699.0,5650.0,0.73
Telangana,Suryapet,Kharif,Arhar/Tur,2021,3866.0,2068.0,0.53
Telangana,Suryapet,Kharif,Arhar/Tur,2022,1420.0,984.0,0.69
Telangana,Suryapet,Rabi,Arhar/Tur,2019,9.0,7.0,0.78
Telangana,Suryapet,Rabi,Arhar/Tur,2020,16.0,12.0,0.75
Telangana,Suryapet,Rabi,Arhar/Tur,2021,51.0,38.0,0.75
Telangana,Suryapet,Rabi,Arhar/Tur,2022,2.0,2.0,1.0
Telangana,Vikarabad,Kharif,Arhar/Tur,2018,53842.0,32574.0,0.6
Telangana,Vikarabad,Kharif,Arhar/Tur,2019,51913.0,44898.0,0.86
Telangana,Vikarabad,Kharif,Arhar/Tur,2020,74067.0,64058.0,0.86
Telangana,Vikarabad,Kharif,Arhar/Tur,2021,71703.0,56000.0,0.78
Telangana,Vikarabad,Kharif,Arhar/Tur,2022,62613.0,51030.0,0.82
Telangana,Vikarabad,Rabi,Arhar/Tur,2018,21.0,13.0,0.62
Telangana,Vikarabad,Rabi,Arhar/Tur,2019,2.0,2.0,1.0
Telangana,Vikarabad,Rabi,Arhar/Tur,2020,103.0,90.0,0.87
Telangana,Vikarabad,Rabi,Arhar/Tur,2021,423.0,323.0,0.76
Telangana,Vikarabad,Rabi,Arhar/Tur,2022,362.0,370.0,1.02
Telangana,Wanaparthy,Kharif,Arhar/Tur,2018,13246.0,8305.0,0.63
Telangana,Wanaparthy,Kharif,Arhar/Tur,2019,12428.0,7586.0,0.61
Telangana,Wanaparthy,Kharif,Arhar/Tur,2020,13348.0,4716.0,0.35
Telangana,Wanaparthy,Kharif,Arhar/Tur,2021,5605.0,2640.0,0.47
Telangana,Wanaparthy,Kharif,Arhar/Tur,2022,2950.0,1861.0,0.63
Telangana,Wanaparthy,Rabi,Arhar/Tur,2019,33.0,20.0,0.61
Telangana,Wanaparthy,Rabi,Arhar/Tur,2020,17.0,6.0,0.35
Telangana,Wanaparthy,Rabi,Arhar/Tur,2021,27.0,20.0,0.74
Telangana,Wanaparthy,Rabi,Arhar/Tur,2022,4.0,5.0,1.25
Telangana,Warangal,Kharif,Arhar/Tur,2018,1063.0,688.0,0.65
Telangana,Warangal,Kharif,Arhar/Tur,2019,1013.0,914.0,0.9
Telangana,Warangal,Kharif,Arhar/Tur,2020,1534.0,868.0,0.57
Telangana,Warangal,Kharif,Arhar/Tur,2021,894.0,572.0,0.64
Telangana,Warangal,Kharif,Arhar/Tur,2022,190.0,212.0,1.12
Telangana,Warangal,Rabi,Arhar/Tur,2018,30.0,19.0,0.63
Telangana,Warangal,Rabi,Arhar/Tur,2019,23.0,21.0,0.91
Telangana,Warangal,Rabi,Arhar/Tur,2020,62.0,35.0,0.56
Telangana,Warangal,Rabi,Arhar/Tur,2021,26.0,19.0,0.73
Telangana,Warangal,Rabi,Arhar/Tur,2022,4.0,5.0,1.25
Telangana,Warangal urban,Kharif,Arhar/Tur,2018,300.0,194.0,0.65
Telangana,Warangal urban,Kharif,Arhar/Tur,2019,689.0,622.0,0.9
Telangana,Warangal urban,Kharif,Arhar/Tur,2020,2364.0,1834.0,0.78
Telangana,Warangal urban,Kharif,Arhar/Tur,2021,1054.0,679.0,0.64
Telangana,Warangal urban,Kharif,Arhar/Tur,2022,281.0,121.0,0.43
Telangana,Warangal urban,Rabi,Arhar/Tur,2020,19.0,15.0,0.79
Telangana,Warangal urban,Rabi,Arhar/Tur,2021,15.0,11.0,0.73
Telangana,Warangal urban,Rabi,Arhar/Tur,2022,2.0,2.0,1.0
Telangana,Yadadri,Kharif,Arhar/Tur,2018,9717.0,3323.0,0.34
Telangana,Yadadri,Kharif,Arhar/Tur,2019,10608.0,8676.0,0.82
Telangana,Yadadri,Kharif,Arhar/Tur,2020,18522.0,13913.0,0.75
Telangana,Yadadri,Kharif,Arhar/Tur,2021,9652.0,7210.0,0.75
Telangana,Yadadri,Kharif,Arhar/Tur,2022,4148.0,2837.0,0.68
Telangana,Yadadri,Rabi,Arhar/Tur,2021,41.0,31.0,0.76
Telangana,Yadadri,Rabi,Arhar/Tur,2022,2.0,2.0,1.0
Telangana,Adilabad,Kharif,Bajra,2019,28.0,34.0,1.21
Telangana,Adilabad,Rabi,Bajra,2019,1.0,1.0,1.0
Telangana,Adilabad,Rabi,Bajra,2020,12.0,11.0,0.92
Telangana,Adilabad,Rabi,Bajra,2021,2.0,2.0,1.0
Telangana,Bhadradri,Rabi,Bajra,2021,2.0,2.0,1.0
Telangana,Jagitial,Rabi,Bajra,2018,1620.0,805.0,0.5
Telangana,Jagitial,Rabi,Bajra,2019,1229.0,1494.0,1.22
Telangana,Jagitial,Rabi,Bajra,2020,2108.0,1959.0,0.93
Telangana,Jagitial,Rabi,Bajra,2021,1064.0,1067.0,1.0
Telangana,Jagitial,Rabi,Bajra,2022,230.0,754.0,3.28
Telangana,Jangoan,Kharif,Bajra,2020,1.0,1.0,1.0
Telangana,Jayashankar,Kharif,Bajra,2022,1.0,1.0,1.0
Telangana,Jogulamba,Kharif,Bajra,2018,322.0,162.0,0.5
Telangana,Jogulamba,Kharif,Bajra,2019,301.0,452.0,1.5
Telangana,Jogulamba,Kharif,Bajra,2020,299.0,295.0,0.99
Telangana,Jogulamba,Kharif,Bajra,2021,160.0,225.0,1.41
Telangana,Jogulamba,Kharif,Bajra,2022,157.0,133.0,0.85
Telangana,Jogulamba,Rabi,Bajra,2019,49.0,74.0,1.51
Telangana,Jogulamba,Rabi,Bajra,2020,40.0,39.0,0.98
Telangana,Jogulamba,Rabi,Bajra,2021,38.0,38.0,1.0
Telangana,Jogulamba,Rabi,Bajra,2022,12.0,39.0,3.25
Telangana,Kamareddy,Kharif,Bajra,2020,6.0,5.0,0.83
Telangana,Kamareddy,Rabi,Bajra,2020,5.0,4.0,0.8
Telangana,Kamareddy,Rabi,Bajra,2021,1.0,1.0,1.0
Telangana,Karimnagar,Kharif,Bajra,2020,1.0,1.0,1.0
Telangana,Karimnagar,Rabi,Bajra,2020,1.0,1.0,1.0
Telangana,Karimnagar,Rabi,Bajra,2021,1.0,1.0,1.0
Telangana,Khammam,Kharif,Bajra,2021,1.0,1.0,1.0
Telangana,Khammam,Rabi,Bajra,2019,1.0,1.0,1.0
Telangana,Komaram bheem asifabad,Kharif,Bajra,2019,1.0,1.0,1.0
Telangana,Komaram bheem asifabad,Kharif,Bajra,2020,1.0,2.0,2.0
Telangana,Komaram bheem asifabad,Kharif,Bajra,2022,183.0,155.0,0.85
Telangana,Mahabubabad,Rabi,Bajra,2018,1.0,,0.0
Telangana,Mahabubabad,Rabi,Bajra,2020,1.0,1.0,1.0
Telangana,Mahabubabad,Rabi,Bajra,2022,2.0,7.0,3.5
Telangana,Mahbubnagar,Kharif,Bajra,2019,9.0,11.0,1.22
Telangana,Mahbubnagar,Kharif,Bajra,2020,17.0,16.0,0.94
Telangana,Mahbubnagar,Kharif,Bajra,2021,5.0,6.0,1.2
Telangana,Medak,Kharif,Bajra,2018,2.0,1.0,0.5
Telangana,Medak,Kharif,Bajra,2019,19.0,23.0,1.21
Telangana,Medak,Kharif,Bajra,2020,11.0,11.0,1.0
Telangana,Medak,Kharif,Bajra,2021,8.0,10.0,1.25
Telangana,Medak,Kharif,Bajra,2022,4.0,3.0,0.75
Telangana,Medak,Rabi,Bajra,2019,7.0,9.0,1.29
Telangana,Medak,Rabi,Bajra,2020,18.0,18.0,1.0
Telangana,Medak,Rabi,Bajra,2021,22.0,22.0,1.0
Telangana,Medak,Rabi,Bajra,2022,11.0,36.0,3.27
Telangana,Medchal,Kharif,Bajra,2020,3.0,3.0,1.0
Telangana,Medchal,Kharif,Bajra,2021,5.0,6.0,1.2
Telangana,Medchal,Kharif,Bajra,2022,1.0,1.0,1.0
Telangana,Medchal,Rabi,Bajra,2020,4.0,4.0,1.0
Telangana,Medchal,Rabi,Bajra,2021,7.0,7.0,1.0
Telangana,Medchal,Rabi,Bajra,2022,5.0,16.0,3.2
Telangana,Mulugu,Rabi,Bajra,2021,3.0,3.0,1.0
Telangana,Nagarkurnool,Kharif,Bajra,2018,5.0,1.0,0.2
Telangana,Nagarkurnool,Kharif,Bajra,2019,91.0,111.0,1.22
Telangana,Nagarkurnool,Kharif,Bajra,2020,69.0,63.0,0.91
Telangana,Nagarkurnool,Kharif,Bajra,2021,4.0,5.0,1.25
Telangana,Nagarkurnool,Kharif,Bajra,2022,16.0,14.0,0.88
Telangana,Nagarkurnool,Rabi,Bajra,2019,2.0,2.0,1.0
Telangana,Nagarkurnool,Rabi,Bajra,2020,8.0,8.0,1.0
Telangana,Nagarkurnool,Rabi,Bajra,2021,12.0,12.0,1.0
Telangana,Nagarkurnool,Rabi,Bajra,2022,8.0,26.0,3.25
Telangana,Nalgonda,Kharif,Bajra,2018,8.0,4.0,0.5
Telangana,Nalgonda,Kharif,Bajra,2019,84.0,102.0,1.21
Telangana,Nalgonda,Kharif,Bajra,2020,46.0,42.0,0.91
Telangana,Nalgonda,Kharif,Bajra,2021,10.0,12.0,1.2
Telangana,Nalgonda,Kharif,Bajra,2022,9.0,8.0,0.89
Telangana,Nalgonda,Rabi,Bajra,2019,7.0,9.0,1.29
Telangana,Nalgonda,Rabi,Bajra,2020,21.0,20.0,0.95
Telangana,Nalgonda,Rabi,Bajra,2021,37.0,37.0,1.0
Telangana,Nalgonda,Rabi,Bajra,2022,42.0,137.0,3.26
Telangana,Narayanapet,Kharif,Bajra,2019,3.0,4.0,1.33
Telangana,Narayanapet,Kharif,Bajra,2020,3.0,3.0,1.0
Telangana,Narayanapet,Kharif,Bajra,2021,2.0,2.0,1.0
Telangana,Narayanapet,Kharif,Bajra,2022,1.0,1.0,1.0
Telangana,Narayanapet,Rabi,Bajra,2021,15.0,15.0,1.0
Telangana,Narayanapet,Rabi,Bajra,2022,3.0,10.0,3.33
Telangana,Nirmal,Rabi,Bajra,2018,764.0,380.0,0.5
Telangana,Nirmal,Rabi,Bajra,2019,439.0,,0.0
Telangana,Nirmal,Rabi,Bajra,2020,500.0,464.0,0.93
